"mjop_discipline";"grids_discipline";"ele_tekst";"proposed_assetType";"ele_eenheid";"ele_soort";"ele_nlsfbhoofd";"element_count";"row_count"
"";"";"Terrein; schuifpoort";"Schuifpoort";"st";"";"90";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Buitenschilderwerk totaal";"Buitenschilderwerk";"m2";"";"46";"6";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Buitenschilderwerk totaal (kozijnen)";"Buitenschilderwerk";"m2";"";"46";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking aluminium, golfplaten Dakvlak 1";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking aluminium, golfplaten Dakvlak 2";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking aluminium, golfplaten Dakvlak 4";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking antraciet pannen Dakvlak 1";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking antraciet pannen Dakvlak 3";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking antraciet pannen Dakvlak 5";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakafwerking antraciet pannen Dakvlak 7";"Dakafwerking";"m2";"";"47";;"1"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 1";"Dakafwerking";"m2";"";"47";"4";"12"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 10";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 11";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 12";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 13";"Dakafwerking";"m2";"";"47";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 14";"Dakafwerking";"m2";"";"47";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 2";"Dakafwerking";"m2";"";"47";"5";"15"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 3";"Dakafwerking";"m2";"";"47";"5";"15"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 4";"Dakafwerking";"m2";"";"47";"5";"15"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 5";"Dakafwerking";"m2";"";"47";"3";"9"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 5A";"Dakafwerking";"m2";"";"47";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 5B";"Dakafwerking";"m2";"";"47";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 6";"Dakafwerking";"m2";"";"47";"4";"12"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 7";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 8";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen + isoleren Dakvlak 9";"Dakafwerking";"m2";"";"47";"2";"6"
"Bouwkundig Exterieur";"Bouwkunde";"Dakbedekking bitumen geballast";"Dakafwerking";"m2";"";"47";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Hekwerk";"Hekwerk";"m1";"";"90";"3";"3"
"Bouwkundig Exterieur";"Bouwkunde";"Metselwerk Gevel";"Gevel";"m2";"";"21";"12";"44"
"Bouwkundig Exterieur";"Bouwkunde";"Opstallen algemeen rijwielberging";"Rijwielberging";"st";"";"90";"4";"4"
"Bouwkundig Exterieur";"Bouwkunde";"Terreinverharding asfalt";"Terreinverharding";"m2";"";"90";"3";"3"
"Bouwkundig Exterieur";"Bouwkunde";"Terreinverharding klinkers";"Terreinverharding";"m2";"";"90";"7";"7"
"Bouwkundig Exterieur";"Bouwkunde";"Valbeveiliging";"Dakbeveiliging";"pst";"";"47";"4";"4"
"Bouwkundig Exterieur";"Bouwkunde";"Vliesgevel";"Vliesgevel";"m2";"";"21";;"2"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering screens elektrisch";"Zonwering screens";"st";"";"31";"6";"18"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering screens elektrisch (nood/west gevel)";"Zonwering screens";"st";"";"31";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering screens elektrisch (zuid/oost gevel)";"Zonwering screens";"st";"";"31";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering, knikarmscherm elektrisch";"Zonwering knikarmscherm";"st";"";"31";;"2"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering, uitvalscherm elektrisch";"Zonwering uitvalscherm";"st";"";"31";"4";"12"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering, uitvalscherm elektrisch (oostvleugel)";"Zonwering uitvalscherm";"st";"";"31";;"3"
"Bouwkundig Exterieur";"Bouwkunde";"Zonwering, uitvalscherm elektrisch (overig)";"Zonwering uitvalscherm";"st";"";"31";;"3"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Buitenhuis)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (De Beemden)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Lidiuina B)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina Algemeen)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina C)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina E)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina H)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina PZ)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Liduina S)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Simeonshof)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Venloene)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Vinckenrode)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Vita)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Vlaswiek)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Vossenber Kapel)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Vossenberg)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur (Wereldhuis)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur Antoniushof";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur Buitenhuis (huur)";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Interieur Rosagaerde";"Afwerkingspakket interieur";"bvo";"";"48";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Sanitaire ruimten (Algemeen)";"Afwerkingspakket sanitair";"bvo";"";"48";"11";"22"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Sanitaire ruimten (Bewonerskamer)";"Afwerkingspakket sanitair";"bvo";"";"48";"3";"8"
"Bouwkundig Interieur";"Bouwkunde";"Afwerkingspakket Sanitaire ruimten (Bewonerskamers)";"Afwerkingspakket sanitair";"bvo";"";"48";;"2"
"Bouwkundig Interieur";"Bouwkunde";"Grootkeukeninrichting";"Grootkeukeninrichting";"st";"";"72";"7";"7"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (divers)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (huiskamer 1e verdieping)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (huiskamer 2e verdieping)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (huiskamer 3e verdieping)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (huiskamer BG)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (huiskamers)";"Keukenblok";"st";"";"73";"6";"6"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Personeelsruimte)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Verdieping 1)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Verdieping 2)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Verdieping 3)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Verdieping 4)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Verdieping 5)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Keukenblok (Zaal de Evenaar)";"Keukenblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Koelcel";"Koelcelinstallatie";"st";"";"73";"2";"2"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken";"Pantryblok";"st";"";"73";"6";"6"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken 1e verdieping";"Pantryblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken 2e verdieping";"Pantryblok";"st";"";"73";"2";"2"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken begane grond";"Pantryblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken derde verdieping";"Pantryblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken eerste verdieping";"Pantryblok";"st";"";"73";"2";"2"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken tweede verdieping";"Pantryblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Pantryblokken vierde verdieping";"Pantryblok";"st";"";"73";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger 1e verdieping";"Vrijloopdrangers";"st";"";"32";"3";"3"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger 2e verdieping";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger 3e verdieping";"Vrijloopdrangers";"st";"";"32";"2";"2"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger 4e verdieping";"Vrijloopdrangers";"st";"";"32";"2";"2"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger 5e verdieping";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdranger Begane grond";"Vrijloopdrangers";"st";"";"32";"3";"3"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers 2e verdieping";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Buitenhuis";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers De Beemden";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel B";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel C";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel E";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel H";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel P&Z";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Liduina Bouwdeel S";"Vrijloopdrangers";"st";"";"32";;"1"
"Bouwkundig Interieur";"Bouwkunde";"Vrijloopdrangers Vossenberg";"Vrijloopdrangers";"st";"";"32";;"1"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Buitenhuis";"Duurzaamheid";"pst";"";"99";;"1"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen De Beemden";"Duurzaamheid";"pst";"";"99";;"1"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Liduina";"Duurzaamheid";"pst";"";"99";;"2"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Rosagaerde";"Duurzaamheid";"pst";"";"99";;"1"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Simeonshof";"Duurzaamheid";"pst";"";"99";;"1"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Vlaswiek";"Duurzaamheid";"pst";"";"99";;"2"
"EED-Maatregelen";"Duurzaamheid";"Duurzaamheidsinvesteringen Wereldhuis";"Duurzaamheid";"pst";"";"99";;"2"
"E-Installatie";"Elektra";"Bliksembeveilingsinstallatie";"Bliksembeveiliging";"pst";"";"61";"11";"11"
"E-Installatie";"Elektra";"Brandmeldinstallatie";"Brandmeldinstallatie";"st";"";"65";"9";"31"
"E-Installatie";"Elektra";"Frequentieregelaar (LBK)";"Frequentieregelaar (LBK)";"st";"Regeling klimaat en sanitair";"58";;"1"
"E-Installatie";"Elektra";"Gebouwdomotica (KNX Systeem)";"Gebouwdomotica (KNX Systeem)";"st";"";"67";"2";"2"
"E-Installatie";"Elektra";"GTV-installatie";"GTV-installatie";"st";"";"65";"7";"7"
"E-Installatie";"Elektra";"Hoofdverdeelkast";"Hoofdverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";"4";"4"
"E-Installatie";"Elektra";"Hoofdverdeelkast (HvK1)";"Hoofdverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Hoofdverdeelkast (HvK2)";"Hoofdverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Hoofdverdeelkast HKL";"Hoofdverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Noodstroomaggregaat";"Noodstroomaggregaat";"st";"";"61";;"1"
"E-Installatie";"Elektra";"Noodverlichtingsarmaturen (decentraal)";"Noodverlichting";"st";"";"63";;"2"
"E-Installatie";"Elektra";"Noodverlichtingsarmaturen (LED)";"Noodverlichting";"st";"";"63";;"2"
"E-Installatie";"Elektra";"Noodverlichtingsarmatuur LED (centraal)";"Noodverlichtingsarmaturen";"st";"";"63";"2";"6"
"E-Installatie";"Elektra";"Noodverlichtingsarmatuur LED (decentraal)";"Noodverlichtingsarmaturen";"st";"";"63";"3";"6"
"E-Installatie";"Elektra";"Onderverdeelkast";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";"5";"5"
"E-Installatie";"Elektra";"Onderverdeelkast 1";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 10";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 11";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 12";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
"E-Installatie";"Elektra";"Onderverdeelkast 13";"Onderverdeelkast";"st";"(Hoofd)verdeelinrichtingen";"61";;"1"
