from_bfguid,rel_type,to_bfguid
7b0a06b2-b4a4-4a79-9dd2-8e300424e1ea,HAS_ROLE,63c55e99-0768-4197-bbe0-1edd2ae80b94
7b1067e4-f6c8-4ff0-aec5-3d8126242220,HAS_VALUE,f296d2d6-802c-48c5-a844-79a6a9f8f7a1
7b14f927-6194-425a-ba6a-5b99e20e3378,HAS_VALUE,7467c0f7-5f39-44d7-b288-08262a637a65
7b5646ce-eeb0-42fa-ba57-a50cb7e5e22f,HAS_VALUE,b1a8b80e-d81d-46f9-bcb1-1d613a9d9a01
7b79300e-e0cc-49be-bf3d-b80c1a918117,HAS_VALUE,2e6b5609-1197-4e75-b7cf-26c5392f9e29
7b841460-2bd0-4c40-a059-3cbd4670390b,HAS_VALUE,dbb29f9c-bfb2-479d-8e4f-29f2e5f3be68
7bf505ec-e1c6-4b7f-9bf7-56921332acb5,HAS_VALUE,5349c11d-7f4a-4a59-aa5f-886272bc9b7f
7c30eb85-1ac9-4b24-a80a-b232eac09aca,HAS_VALUE,02468f0f-663e-4bb3-a61c-5d76c6a00b37
7c52f85c-de0f-42d5-8f47-908c3b2253c7,HAS_ASSETTEMPLATE,d6067b8b-028e-4aaf-8eda-5aa118d935d5
7c9a099d-7a70-4936-b379-4b1ed566ec9f,HAS_VALUE,70eef8a1-7a4a-485d-ac15-aab4269467ca
7ca87a90-c4cd-4e67-9f30-bfd97666cf22,HAS_VALUE,4ed60b53-3844-46d1-be87-326a739d08dd
7cb497d2-9fc0-4115-b467-efd39ed399c7,HAS_FILTER,96ac1649-dcbd-4ea8-9c5f-6013471fb7d1
7cf13ec9-a627-41af-9d5b-a0405d780535,HAS_FILTER,be730d60-7c27-4c90-823a-88fa077de591
7d2b7344-447f-4566-aa77-6e135d9e0eea,HAS_VALUE,94473402-9da0-44ff-b536-a1407c85a830
7d3bd0c6-374d-45d7-bbcb-5c25b8486d64,HAS_VALUE,ffcd5b1a-91d6-473c-96a7-378b805a3674
7d900bc3-f6d3-4834-af8b-36bae822ca2b,HAS_VALUE,f6064351-f014-4031-9251-12a8d502704f
7d9e3062-e1d7-48fd-aec7-f33d230f4958,HAS_VALUE,86569236-8078-44d0-bbb4-eceaa67ba80e
7da1869b-c54e-48a2-bbec-eff9a31c5452,HAS_VALUE,89b7b133-d0ec-43b4-bbcd-1c37311ac5f2
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,6c0444ff-fe64-42a3-a715-8bc4a7eaa3ee
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,fff21f42-d7cf-40ee-be4e-c783d6078be7
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,3d7feae4-7831-44c2-84a8-56fa8dd5fefb
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,402c3169-edc1-45d6-9e42-5474544adfae
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,30b0ba2e-cb8a-48df-a544-af1a4ed11961
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_COST,ee9bfbd0-1864-4165-aa7c-98f9e2e2d8bf
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_LABEL,10b13653-ead6-4aa4-b277-05566f4cd9b5
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_PROPERTY,32c97ec3-8e06-4bd7-bf0f-f10a9f9dacc1
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_PROPERTY,ecbf7325-98b6-4c34-8dfa-3f0f49e52c08
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_PROPERTY,0f34f69b-6ecc-4113-ad30-0e6addd4886e
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_PROPERTY,5379aba7-1176-4013-971c-145c59dcc893
7e0f5b5b-e59c-4f2c-adf1-f48a684d8d34,HAS_PROPERTY,670d7d01-9a53-4aa6-97ca-e03e65748774
7e1de356-b88b-4afa-a9a7-44c91489902d,HAS_VALUE,cdbfaeca-d41e-4be8-a272-148120a1afeb
7e4d767d-5633-4cc4-b600-a6287170db93,HAS_VALUE,2e27ee69-cbc8-47e1-a72b-0d485f5a9d9f
7e6c53c8-5cfb-44f5-885f-1e1fa3c48a6d,HAS_VALUE,3be6781f-2c8f-4a95-a232-4a9a48169633
7e7c4641-18f9-4674-b728-39e3d4ce67a3,HAS_VALUE,75e4c166-83a9-45f7-81ce-ce0d0aed98f3
7e82d4c2-8a8a-4fcf-ba79-9a3143ee6f58,HAS_VALUE,0b49fa38-25c2-4883-b757-11ca4f523ac8
7ec4598c-eeee-4bba-b3af-9fc63530f041,HAS_ACTOR,deede210-7706-4865-bc21-28016ab31321
