from_bfguid,to_bfguid,type
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,d83f3e8c-576e-4633-895c-e40b323e4a96,HAS_PROJECTS
d83f3e8c-576e-4633-895c-e40b323e4a96,4baed476-44d0-42e0-8e5d-1a03e8d720be,HAS_PROJECT
3044dc9d-53a1-4bbd-8fa5-8bcde0c4d1f9,c644ecb9-9fd1-41e3-94fe-05e1f84c7075,HAS_DEPARTMENT
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,4d126093-b68e-41c0-bf4b-71654cf6736d,HAS_TOS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,535ab9a3-7350-4f35-9071-c45a5c233cbd,HAS_LABELS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,05948403-53d8-4096-a6b3-04e1eaacff90,HAS_MODELS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,db9efdd3-df47-4350-ad4d-35af2df41ea6,HAS_DOCUMENTS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,a51cddd6-70b7-4260-b63e-41aa1682619b,HAS_PROPERTIES
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,bb1c55a5-4db8-4e35-a499-9395b859153e,HAS_CLASSIFICATIONSETS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,77846572-6db9-4c1a-b4ec-94d2553c8c86,HAS_EXPORTS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,aad813c3-d768-4d2a-a748-11c463043dd7,HAS_FILTERS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,1c482ff5-0cfa-4976-b934-50fee9c02228,HAS_OBJECTS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,e88e4d5a-968b-43d9-8d6d-90dbee518f52,HAS_MAPPINGS
c644ecb9-9fd1-41e3-94fe-05e1f84c7075,cba6e6a3-4d6b-4aa1-9f68-28ddf7f7da5f,HAS_REQUIREMENTS
1c482ff5-0cfa-4976-b934-50fee9c02228,5c750551-b543-440b-9127-b71e20c8792c,HAS_OBJECTSET
1c482ff5-0cfa-4976-b934-50fee9c02228,61982879-79b2-4af3-8207-7b073ea3a6eb,HAS_PROPERTY
5c750551-b543-440b-9127-b71e20c8792c,909859a8-f89f-4d29-81e0-149194d37117,HAS_OBJECTTEMPLATE
909859a8-f89f-4d29-81e0-149194d37117,5809173a-becf-4845-a1f7-5ceb0bd1e3a3,HAS_PROPERTY
5809173a-becf-4845-a1f7-5ceb0bd1e3a3,5ee0a49b-771b-4602-be88-9da81cc15cb4,HAS_VALUE
61982879-79b2-4af3-8207-7b073ea3a6eb,a7a2d366-2b3c-4484-bec4-19957f61903d,HAS_VALUE
cba6e6a3-4d6b-4aa1-9f68-28ddf7f7da5f,5bd98298-0b72-42b6-8457-04aeb4a204ee,HAS_REQUIREMENTSET
5bd98298-0b72-42b6-8457-04aeb4a204ee,8759dc13-fd44-44f6-9997-24ac926a259a,HAS_REQUIREMENTTEMPLATE
8759dc13-fd44-44f6-9997-24ac926a259a,17f2db6b-7bde-4557-b6ba-ed89f16209f7,HAS_OBJECT
17f2db6b-7bde-4557-b6ba-ed89f16209f7,8efc8227-59e6-4c37-a51a-427ef0525344,HAS_PROPERTY
