ele_vrij1,han_vrij1,han_tekst,han_prijs,han_cyclus,han_startjaar,han_stopjaar,cost_label,funding_source,cost_basis,han_fonds,seq
E-ZEM-00035,H-ZEM-00089,Vervangen automatische schuifdeur 1e verd. PG,10180.53,12,2030,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00036,H-ZEM-00090,Vervangen automatische draaideur Binnendeur noodunit,4361.00,12,2036,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00701,H-ZEM-01016,Vervangen Vrijloopdrangers,279.92,10,2035,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00421,H-ZEM-00628,Jaarlijkse post Afwerkingspakket Interieur Antoniushof,5.11,1,2026,0,ReplacementCost,Investment,Interieur,,1
E-ZEM-00561,H-ZEM-00839,Vervangen Sleutelkast,17960.36,16,2039,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00561,H-ZEM-00840,Vervangen accu Sleutelkast,1652.53,4,2027,0,ReplacementCost,Investment,Invest,,2
E-ZEM-00201,H-ZEM-00297,Vervangen onderdelen elektrische poort,3500.00,5,2028,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00277,H-ZEM-00384,Vervangen slagboom Buitendeur huisvest. parkeerplaats,3521.00,5,2028,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00427,H-ZEM-00640,Inspecteren en plaatselijk herstel noordgevel (Voegwerk / Stucwerk / Gevelbekleding),15.94,10,2033,0,ReplacementCost,Investment,Invest,,1
E-ZEM-00427,H-ZEM-00641,Inspecteren en plaatselijk herstel oostgevel (Voegwerk / Stucwerk / Gevelbekleding),15.94,10,2033,0,ReplacementCost,Investment,Invest,,2
E-ZEM-00427,H-ZEM-00642,Inspecteren en plaatselijk herstel westgevel (Voegwerk / Stucwerk / Gevelbekleding),15.94,10,2033,0,ReplacementCost,Investment,Invest,,3
E-ZEM-00427,H-ZEM-00643,Inspecteren en plaatselijk herstel zuidgevel (Voegwerk / Stucwerk / Gevelbekleding),15.94,10,2033,0,ReplacementCost,Investment,Invest,,4
