at_bfguid,prop_bfguid,prop_name,templateguid,val_bfguid
037b2558-7c42-4d0f-bded-9a11ae892959,4374c6de-0519-490a-932c-54fa8d864ec0,Cluster,df924529-32dc-44d9-8311-ff39d2ce89e0,19cbf6fa-e01d-4ecb-8646-a2e51e757d31
037b2558-7c42-4d0f-bded-9a11ae892959,2f4b7d5a-2b0c-4f5a-bba0-9064410855f1,ComplianceStatus,5f1eed38-eab7-4f29-8abb-08900852ed25,ddf97058-980a-4b6f-a162-81aaa7fa24c4
037b2558-7c42-4d0f-bded-9a11ae892959,391f928f-b4c5-4416-b4fd-78ba8ba9127d,DagenTotDeadline,4f203526-4f95-45c4-bbd7-9aa4cfde09d5,fb5aa37d-bbb2-4fdf-a0dc-5277226a56f2
037b2558-7c42-4d0f-bded-9a11ae892959,a9caa5a3-ff19-4433-93eb-3658b11e9403,Slanglengte,a9cd8ff8-e7c9-44c7-880c-5f0ababc7f8b,15d2a918-7a97-4627-98d5-6c02d9cd955a
037b2558-7c42-4d0f-bded-9a11ae892959,af766106-f6f4-43b2-85c2-cbec7ed44409,Subtype,b0ef9956-17f2-4d7f-bff2-ba26a8952c7c,32c3b92f-aa36-47c4-90ec-f2724521c65d
037b2558-7c42-4d0f-bded-9a11ae892959,6afdd000-a938-4107-a542-b36cd5a0dc64,VolgendeKeuring,9675199f-99ba-40be-b835-78585cd5503e,5eac70ce-12f3-42c6-9fcb-f2ca64d640cf
060bdb56-43a3-4bcf-942d-60bd51c0d44f,00dcfe3b-2df2-48c5-a57a-7ac0f1396c5a,AantalWerknemers,b575b7f6-fb66-4e98-a721-b08111ecd7bc,82a35b87-39a2-4a60-8003-dffc4f121b4b
060bdb56-43a3-4bcf-942d-60bd51c0d44f,264a090a-d9f1-4e63-9d7c-b9838d9b92e8,Cluster,df924529-32dc-44d9-8311-ff39d2ce89e0,62f84121-24d2-4d51-8db0-129c242e3f45
060bdb56-43a3-4bcf-942d-60bd51c0d44f,19f08a27-3566-4619-950d-a0f8a689bba0,ComplianceStatus,5f1eed38-eab7-4f29-8abb-08900852ed25,747cd51b-04f7-4609-9e8f-df4fea5ee3af
060bdb56-43a3-4bcf-942d-60bd51c0d44f,3faed48d-bc85-4ba8-b840-0d5dcd758b54,DagenTotDeadline,4f203526-4f95-45c4-bbd7-9aa4cfde09d5,7d323652-44f4-43db-9055-eef4952f1f9c
060bdb56-43a3-4bcf-942d-60bd51c0d44f,b6753147-a4b8-4166-ad2f-18c43318f047,HaccpCcpAantal,7d7038a8-8532-4c76-94cd-250e637480ef,714330ed-44e4-4259-a6d7-0056649e4ea8
060bdb56-43a3-4bcf-942d-60bd51c0d44f,26d5321c-464d-46d8-807c-4b34430c414c,HaccpPlanVersie,82109d26-6c63-49b8-b59a-580f863e143d,52d8c868-d62b-4cf7-a83f-29558df6f8d0
060bdb56-43a3-4bcf-942d-60bd51c0d44f,59b84b94-c6e2-44dd-bce3-f753aa752ef8,LaatsteNvwaInspectie,19abfe53-01fe-4589-bd42-ede7f2740964,40a06789-fe27-455b-94e9-991a5ef2cc7f
060bdb56-43a3-4bcf-942d-60bd51c0d44f,385394e1-f625-40ce-9aad-fea9f13d1dc1,NvwaRisicoklasse,12cc3d80-7918-4a5c-b51e-48b1ec4a1493,7cd10157-addc-4bce-a775-fc7ff175a6c5
060bdb56-43a3-4bcf-942d-60bd51c0d44f,d531379d-0f57-4151-a61b-c5ba9c61c405,OrganisatieType,41fb6f90-cede-47b8-9f6a-e8e611fbec1c,4ec70959-2f6e-46df-a9aa-1361bb8945f7
060bdb56-43a3-4bcf-942d-60bd51c0d44f,1ef92625-6f02-4c6b-8456-91cf3ad1ea50,Subtype,b0ef9956-17f2-4d7f-bff2-ba26a8952c7c,640788d1-4470-4877-9aa5-075192de4c75
060bdb56-43a3-4bcf-942d-60bd51c0d44f,3aca56aa-33c0-498c-a54a-418306af20b7,VoedselbereidingType,fdcc7caf-e66a-409e-9207-74ef2647ad4d,31f0bc09-acf4-49b5-8e2a-bf0c28424ef8
060bdb56-43a3-4bcf-942d-60bd51c0d44f,abb6a9ac-fdfe-4d26-9c34-236a41c49071,VolgendeKeuring,9675199f-99ba-40be-b835-78585cd5503e,d602cb7b-6caa-4657-85af-87356093e8fe
0df39cd6-42f1-4a1c-8594-9efbe03e982c,50e0e2a6-788d-4afa-8ad7-ad4b31ab014c,Cluster,df924529-32dc-44d9-8311-ff39d2ce89e0,e7900bda-0808-45c6-9466-003861191cd8
